epoch,train_loss,train_acc,val_loss,val_acc
1,0.6647705653021413,0.8350806451612903,0.5143387952938716,0.9170423805229937
2,0.48625499529223287,0.9375,0.4606039799259416,0.9458972046889089
3,0.4330503081121752,0.9651209677419355,0.4401642736064302,0.9522091974752029
4,0.4181912416411984,0.9703629032258064,0.42308221928056455,0.9702434625788999
5,0.40618660699936654,0.9745967741935484,0.4054033564113087,0.975653742110009
6,0.39134445248111605,0.9834677419354839,0.4158485389110524,0.9675383228133454
7,0.3842509121664109,0.9860887096774194,0.4320937967493902,0.9639314697926059
8,0.3827892945658776,0.9852822580645161,0.43797058350766854,0.9585211902614968
9,0.3756597541993664,0.9901209677419355,0.40705784542588525,0.9702434625788999
10,0.3810844246418245,0.9881048387096775,0.4257580609983749,0.9657348963029756
