epoch,train_loss,train_acc,val_loss,val_acc
1,0.6561880832718264,0.8413306451612903,0.49168012983848425,0.9242560865644724
2,0.4806297673333076,0.9383064516129033,0.46756385894268887,0.951307484220018
3,0.43817744716521234,0.9625,0.4314181249995184,0.9621280432822362
4,0.4150979128576094,0.9752016129032258,0.4233719657088745,0.9657348963029756
5,0.4082371817481133,0.9747983870967742,0.42183845988042296,0.9630297565374211
6,0.3897870219522907,0.9828629032258065,0.4087344539176246,0.9675383228133454
7,0.3902829998923886,0.9830645161290322,0.4477971025798856,0.9522091974752029
8,0.3854267439534587,0.9846774193548387,0.4019454990398572,0.9738503155996393
9,0.382775310162575,0.9872983870967742,0.4477411948204901,0.9540126239855726
10,0.3728589836628206,0.9921370967741936,0.4507772536079985,0.9522091974752029
11,0.3720214464972096,0.9919354838709677,0.4439164559458482,0.9567177637511272
12,0.3688244736963703,0.9931451612903226,0.40869653679101287,0.9720468890892696
13,0.36752801614422953,0.99375,0.41428538184105757,0.9729486023444545
