epoch,train_loss,train_acc,val_loss,val_acc
1,1.039335374678335,0.6141129032258065,1.845327119659582,0.4220018034265104
2,0.9346769886632119,0.69375,1.190639690948672,0.5761947700631199
3,0.8523647516004501,0.7346774193548387,2.038229269633108,0.3976555455365194
4,0.815756550527388,0.7534274193548387,1.521898533225167,0.5527502254283138
5,0.7898309626886921,0.7762096774193549,1.9842276460313926,0.44454463480613166
6,0.7688641898093685,0.7933467741935484,1.2778167521448367,0.5951307484220018
7,0.7663505661872125,0.7901209677419355,0.8366158701096492,0.7376014427412083
8,0.7521540195711197,0.7963709677419355,0.8878681758591676,0.7024346257889991
9,0.7356320192736964,0.8096774193548387,0.9828423369135053,0.6636609558160504
10,0.7235121580862229,0.8179435483870968,1.2111650471003663,0.5175834084761046
11,0.7142237036458907,0.8217741935483871,2.1188583159306975,0.3742110009017133
12,0.7116071381876545,0.8227822580645161,0.7381052045643706,0.7980162308385933
13,0.712505280586981,0.822983870967742,0.9240369315186098,0.6880072137060415
14,0.6951136564054797,0.8354838709677419,0.990481624740862,0.6609558160504959
15,0.688482202253034,0.8362903225806452,0.6908555070057552,0.8295761947700632
16,0.6826154355079898,0.8405241935483871,2.5829843938941885,0.29035166816952207
17,0.6695764239757291,0.8463709677419354,0.7748935769225586,0.8088367899008115
18,0.6703256618592047,0.8491935483870968,1.6242121682713115,0.6014427412082958
19,0.6595223151868389,0.8560483870967742,0.6912279884163811,0.8331830477908025
20,0.6614431533121293,0.8518145161290323,0.943018039139248,0.6844003606853021
