epoch,train_loss,train_acc,val_loss,val_acc
1,0.6726521740036626,0.839516129032258,0.5564046153299866,0.9062218214607755
2,0.47395788027394203,0.9473790322580645,0.531482806068159,0.9071235347159603
3,0.431327336834323,0.9649193548387097,0.5154296099010945,0.9233543733092876
4,0.4102821467384215,0.973991935483871,0.5019603605954038,0.9278629395852119
5,0.3964643036165545,0.9816532258064516,0.44947229171250724,0.9522091974752029
6,0.38947188277398387,0.9854838709677419,0.4863101463795138,0.9350766456266907
7,0.3824452156020749,0.9875,0.45197727021276685,0.9621280432822362
8,0.3773884034925892,0.9887096774193549,0.41497648423378053,0.9702434625788999
9,0.3713001908794526,0.99375,0.4202960065563484,0.9693417493237151
10,0.3711233131347164,0.9939516129032258,0.4485430354412017,0.9522091974752029
11,0.3696629822254181,0.9935483870967742,0.42051612379531583,0.9657348963029756
12,0.3693740435184971,0.9933467741935483,0.4043595991605461,0.975653742110009
13,0.3669698496018687,0.995766129032258,0.4185025898640601,0.9711451758340848
14,0.3681114210236457,0.99375,0.4541168722674264,0.9458972046889089
15,0.36458071277987575,0.9951612903225806,0.41934125008509976,0.9711451758340848
16,0.36434509907999346,0.995766129032258,0.4027536808369502,0.9747520288548241
17,0.36629747325374235,0.9951612903225806,0.4147405699903198,0.9648331830477908
18,0.36174118057374033,0.9971774193548387,0.40272279832145996,0.9738503155996393
19,0.36512378088889585,0.9959677419354839,0.4120754852985024,0.9684400360685302
20,0.36038806630719095,0.9971774193548387,0.4365500037577692,0.9630297565374211
21,0.36547954044034403,0.9941532258064516,0.4047598947911138,0.9720468890892696
22,0.3604262150103046,0.9967741935483871,0.40047771028831697,0.9747520288548241
23,0.35735072705053517,0.9983870967741936,0.41515702527852827,0.9693417493237151
24,0.35778275862816844,0.9975806451612903,0.39960497945573975,0.9747520288548241
25,0.3578567397209906,0.9977822580645161,0.40296443998544895,0.9747520288548241
26,0.35749686860269114,0.9979838709677419,0.4107788603944323,0.9711451758340848
27,0.3552671099862745,0.9991935483870967,0.4271553451408665,0.9657348963029756
28,0.35541496584492344,0.998991935483871,0.4149935337957549,0.9711451758340848
29,0.35713737876184526,0.9977822580645161,0.4056962691146689,0.9720468890892696
