model,config,fitted_on,threshold,tp,fn,fp,tn,sensitivity,specificity,miss_rate,false_referral_rate,ppv,npv,referral_rate,referrals_per_100,balanced_accuracy
vit,ensemble5,internal_val,0.0,811,0,298,0,1.0,0.0,0.0,1.0,0.7312894499549143,,1.0,100.0,0.5
vit,ensemble5,internal_val,0.001,811,0,298,0,1.0,0.0,0.0,1.0,0.7312894499549143,,1.0,100.0,0.5
vit,ensemble5,internal_val,0.002,811,0,298,0,1.0,0.0,0.0,1.0,0.7312894499549143,,1.0,100.0,0.5
vit,ensemble5,internal_val,0.003,811,0,192,106,1.0,0.35570469798657717,0.0,0.6442953020134228,0.8085742771684945,1.0,0.9044183949504058,90.44183949504058,0.6778523489932886
vit,ensemble5,internal_val,0.004,811,0,43,255,1.0,0.8557046979865772,0.0,0.14429530201342283,0.949648711943794,1.0,0.7700631199278629,77.0063119927863,0.9278523489932886
vit,ensemble5,internal_val,0.005,811,0,21,277,1.0,0.9295302013422819,0.0,0.07046979865771812,0.9747596153846154,1.0,0.7502254283137962,75.02254283137962,0.964765100671141
vit,ensemble5,internal_val,0.006,810,1,16,282,0.998766954377312,0.9463087248322147,0.0012330456226880395,0.053691275167785234,0.9806295399515739,0.9964664310954063,0.7448151487826871,74.48151487826871,0.9725378396047634
vit,ensemble5,internal_val,0.007,809,2,16,282,0.9975339087546239,0.9463087248322147,0.002466091245376079,0.053691275167785234,0.9806060606060606,0.9929577464788732,0.7439134355275022,74.39134355275023,0.9719213167934193
vit,ensemble5,internal_val,0.008,808,3,16,282,0.9963008631319359,0.9463087248322147,0.0036991368680641184,0.053691275167785234,0.9805825242718447,0.9894736842105263,0.7430117222723174,74.30117222723175,0.9713047939820754
vit,ensemble5,internal_val,0.009000000000000001,808,3,15,283,0.9963008631319359,0.9496644295302014,0.0036991368680641184,0.050335570469798654,0.9817739975698664,0.9895104895104895,0.7421100090171325,74.21100090171325,0.9729826463310687
vit,ensemble5,internal_val,0.01,808,3,15,283,0.9963008631319359,0.9496644295302014,0.0036991368680641184,0.050335570469798654,0.9817739975698664,0.9895104895104895,0.7421100090171325,74.21100090171325,0.9729826463310687
vit,ensemble5,internal_val,0.011,808,3,13,285,0.9963008631319359,0.9563758389261745,0.0036991368680641184,0.0436241610738255,0.9841656516443362,0.9895833333333334,0.7403065825067628,74.03065825067628,0.9763383510290552
vit,ensemble5,internal_val,0.012,808,3,10,288,0.9963008631319359,0.9664429530201343,0.0036991368680641184,0.03355704697986577,0.9877750611246944,0.9896907216494846,0.7376014427412083,73.76014427412083,0.981371908076035
vit,ensemble5,internal_val,0.013000000000000001,808,3,9,289,0.9963008631319359,0.9697986577181208,0.0036991368680641184,0.030201342281879196,0.988984088127295,0.9897260273972602,0.7366997294860235,73.66997294860235,0.9830497604250283
vit,ensemble5,internal_val,0.014,808,3,8,290,0.9963008631319359,0.9731543624161074,0.0036991368680641184,0.026845637583892617,0.9901960784313726,0.9897610921501706,0.7357980162308386,73.57980162308385,0.9847276127740217
vit,ensemble5,internal_val,0.015,808,3,8,290,0.9963008631319359,0.9731543624161074,0.0036991368680641184,0.026845637583892617,0.9901960784313726,0.9897610921501706,0.7357980162308386,73.57980162308385,0.9847276127740217
vit,ensemble5,internal_val,0.016,808,3,7,291,0.9963008631319359,0.9765100671140939,0.0036991368680641184,0.02348993288590604,0.9914110429447853,0.9897959183673469,0.7348963029756538,73.48963029756537,0.986405465123015
vit,ensemble5,internal_val,0.017,808,3,7,291,0.9963008631319359,0.9765100671140939,0.0036991368680641184,0.02348993288590604,0.9914110429447853,0.9897959183673469,0.7348963029756538,73.48963029756537,0.986405465123015
vit,ensemble5,internal_val,0.018000000000000002,808,3,7,291,0.9963008631319359,0.9765100671140939,0.0036991368680641184,0.02348993288590604,0.9914110429447853,0.9897959183673469,0.7348963029756538,73.48963029756537,0.986405465123015
vit,ensemble5,internal_val,0.019,808,3,7,291,0.9963008631319359,0.9765100671140939,0.0036991368680641184,0.02348993288590604,0.9914110429447853,0.9897959183673469,0.7348963029756538,73.48963029756537,0.986405465123015
vit,ensemble5,internal_val,0.02,808,3,7,291,0.9963008631319359,0.9765100671140939,0.0036991368680641184,0.02348993288590604,0.9914110429447853,0.9897959183673469,0.7348963029756538,73.48963029756537,0.986405465123015
vit,ensemble5,internal_val,0.021,808,3,7,291,0.9963008631319359,0.9765100671140939,0.0036991368680641184,0.02348993288590604,0.9914110429447853,0.9897959183673469,0.7348963029756538,73.48963029756537,0.986405465123015
vit,ensemble5,internal_val,0.022,808,3,6,292,0.9963008631319359,0.9798657718120806,0.0036991368680641184,0.020134228187919462,0.9926289926289926,0.9898305084745763,0.7339945897204689,73.39945897204689,0.9880833174720083
vit,ensemble5,internal_val,0.023,808,3,6,292,0.9963008631319359,0.9798657718120806,0.0036991368680641184,0.020134228187919462,0.9926289926289926,0.9898305084745763,0.7339945897204689,73.39945897204689,0.9880833174720083
vit,ensemble5,internal_val,0.024,808,3,6,292,0.9963008631319359,0.9798657718120806,0.0036991368680641184,0.020134228187919462,0.9926289926289926,0.9898305084745763,0.7339945897204689,73.39945897204689,0.9880833174720083
vit,ensemble5,internal_val,0.025,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.026000000000000002,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.027,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.028,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.029,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.03,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.031,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.032,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.033,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.034,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.035,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.036000000000000004,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.037,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.038,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.039,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.04,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.041,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.042,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
vit,ensemble5,internal_val,0.043000000000000003,808,3,5,293,0.9963008631319359,0.9832214765100671,0.0036991368680641184,0.016778523489932886,0.993849938499385,0.9898648648648649,0.7330928764652841,73.3092876465284,0.9897611698210015
