model,config,n_seeds,relative_inference_cost,own_temperature,own_threshold,brisc_miss_rate,brisc_miss_rate_ci_lo,brisc_miss_rate_ci_hi,brisc_sensitivity,brisc_specificity,brisc_referrals_per_100,brisc_accuracy,brisc_macro_f1,brisc_ece,brisc_miss_rate_after_20pct_defer
vit,single_seed42,1,1,0.5600767135620117,0.863,0.006775067750677507,0.0032418402598095386,0.011572498298162015,0.9898373983739838,0.9887737478411054,55.960516324981015,0.9681093394077449,0.9635752750152995,0.00913338834682475,0.0008960573476702509
vit,ensemble5,5,5,0.5271263718605042,0.97,0.0027100271002710027,0.0006608841076067146,0.005479639964672943,0.9911924119241192,0.9861830742659758,56.15034168564921,0.9620349278663629,0.9592420219421636,0.009783335014674587,0.0009033423667570009
resnet50,single_seed42,1,1,0.6393370628356934,0.984,0.0040650406504065045,0.0013368092691622103,0.007488598266332417,0.9769647696476965,0.9853195164075993,55.391040242976466,0.9369779802581625,0.9382439402929925,0.022965388616096222,0.001728608470181504
resnet50,ensemble5,5,5,0.533545732498169,0.988,0.0020325203252032522,0.0,0.004676096846098614,0.9857723577235772,0.9991364421416234,55.277145026575546,0.9449506454062263,0.9445903123180515,0.010169259303212046,0.0
