seed,model,num_epochs,batch_size,lr,wd,label_smoothing,mc_T,early_stop_patience,best_val_loss,best_val_acc,test_loss,test_acc,mc_acc,macro_f1,macro_auc,mean_entropy,ece,brier,aurc,acc_at_80,acc_at_90,acc_at_95,acc_ci_lo,acc_ci_hi,auc_ci_lo,auc_ci_hi
42,resnet50,30,32,0.0001,0.01,0.1,20,5,0.39960497945573975,0.9747520288548241,0.43696286159453634,0.9649280575539568,0.9649280575539568,0.9647718181151603,0.9908817799445647,0.5588003396987915,0.06797804560163896,0.06519650700487596,0.020389294372194805,0.9876265466816648,0.987,0.9801136363636364,0.9532374100719424,0.9748201438848921,0.984913542969832,0.9958633560862304
123,resnet50,30,32,0.0001,0.01,0.1,20,5,0.4060594620631556,0.9720468890892696,0.4369096490119001,0.960431654676259,0.960431654676259,0.9599882865019935,0.9946758320751072,0.6292275190353394,0.07567346093358758,0.06971745588866092,0.008940509057839554,0.9932508436445444,0.99,0.9791666666666666,0.947841726618705,0.9721223021582733,0.991119080613456,0.9974683664860542
7,resnet50,30,32,0.0001,0.01,0.1,20,5,0.4080913931373221,0.9747520288548241,0.4201269960231918,0.9649280575539568,0.9649280575539568,0.9646613046103496,0.9970716262359073,0.6031120419502258,0.0731189414162001,0.059393020076699866,0.0027035834950277986,0.9966254218222722,0.993,0.9820075757575758,0.9550359712230215,0.9748201438848921,0.9948207424125234,0.9986826191774332
2024,resnet50,30,32,0.0001,0.01,0.1,20,5,0.40239442754587257,0.9783588818755635,0.4316431897149669,0.966726618705036,0.966726618705036,0.9665393131266993,0.9953789206278589,0.5879570841789246,0.07495900881376197,0.06298854062736976,0.007212517101477285,0.9898762654668166,0.986,0.9839015151515151,0.9550359712230215,0.9766411870503597,0.9925275651845773,0.9977096806991352
31,resnet50,30,32,0.0001,0.01,0.1,20,5,0.4227292369194564,0.9693417493237151,0.44093026703210186,0.9640287769784173,0.9631294964028777,0.9627915915035584,0.991582945455131,0.6296699047088623,0.07744180124333433,0.07207498412881001,0.013401106301230509,0.9887514060742407,0.983,0.9753787878787878,0.9523156474820144,0.9739208633093526,0.9861778072082006,0.9960199561275945
