seed,model,num_epochs,batch_size,lr,wd,label_smoothing,mc_T,early_stop_patience,best_val_loss,best_val_acc,test_loss,test_acc,mc_acc,macro_f1,macro_auc,mean_entropy,ece,brier,aurc,acc_at_80,acc_at_90,acc_at_95,acc_ci_lo,acc_ci_hi,auc_ci_lo,auc_ci_hi
42,vit,30,32,0.0001,0.01,0.1,20,5,0.4054033564113087,0.975653742110009,0.4367082843677603,0.9631294964028777,0.9631294964028777,0.9627454147056373,0.9947737707452086,0.6335750818252563,0.08123471577176086,0.06885841039868484,0.007870624358761113,0.9921259842519685,0.988,0.9801136363636364,0.9523381294964028,0.9739208633093526,0.9914130876162337,0.9973301406242177
123,vit,30,32,0.0001,0.01,0.1,20,5,0.4019454990398572,0.9738503155996393,0.43514788879765026,0.9640287769784173,0.9640287769784173,0.9638746611824114,0.9952989854452203,0.581299364566803,0.07207043316188479,0.06626178201019252,0.005815620037253483,0.9921259842519685,0.99,0.9801136363636364,0.9532374100719424,0.9748201438848921,0.9919065833763112,0.9981860290369189
7,vit,30,32,0.0001,0.01,0.1,20,5,0.41135428847226074,0.9702434625788999,0.43378758687767194,0.9613309352517986,0.9613309352517986,0.9610368240246561,0.9933456659599028,0.5637498497962952,0.06728702145729135,0.06402209089069046,0.009266230648746687,0.9876265466816648,0.986,0.9829545454545454,0.9496402877697842,0.9721223021582733,0.9895120027189712,0.9966688499079074
2024,vit,30,32,0.0001,0.01,0.1,20,5,0.40375917714603105,0.9783588818755635,0.4417315335582486,0.9622302158273381,0.9622302158273381,0.962124827555759,0.9918912190438438,0.5491698980331421,0.06474090533719648,0.06612576650203668,0.01739853082958269,0.9865016872890888,0.985,0.9810606060606061,0.9505170863309352,0.9730215827338129,0.9873506155901772,0.9953471700546399
31,vit,30,32,0.0001,0.01,0.1,20,5,0.4152324648189373,0.9693417493237151,0.447481776956174,0.9568345323741008,0.9586330935251799,0.9580161509280757,0.993605976450741,0.5911667346954346,0.06432777544041328,0.07329666196560644,0.010767841497829986,0.9910011248593926,0.984,0.9744318181818182,0.9460431654676259,0.9703237410071942,0.9895726307377979,0.9970218581575955
