epoch,train_loss,train_acc,val_loss,val_acc
1,0.6774599850177765,0.8389112903225806,0.5214008716874772,0.9116321009918846
2,0.47673618293577624,0.9441532258064517,0.49457088948586053,0.9269612263300271
3,0.4331832474277866,0.9639112903225806,0.47751973941586273,0.939585211902615
4,0.41307438708120775,0.9727822580645161,0.4472757507219736,0.9531109107303878
5,0.3968346463095757,0.9824596774193548,0.4404255558339404,0.9522091974752029
6,0.3920218515780664,0.9844758064516129,0.4239456915070712,0.9666366095581606
7,0.38547009114296205,0.9883064516129032,0.41523819334126466,0.9720468890892696
8,0.3744482119237223,0.9931451612903226,0.4060594620631556,0.9720468890892696
9,0.37356959100692505,0.9917338709677419,0.4105040279458083,0.9747520288548241
10,0.3707621330215085,0.9933467741935483,0.4339689875745472,0.9585211902614968
11,0.37473009382524797,0.9921370967741936,0.45066526443491767,0.9522091974752029
12,0.3654471972296315,0.995766129032258,0.4274957927096739,0.9648331830477908
13,0.36384849702158284,0.9965725806451613,0.4464970699186471,0.9549143372407575
