epoch,train_loss,train_acc,val_loss,val_acc
1,0.6694101529736672,0.8316532258064516,0.5070180062564028,0.9206492335437331
2,0.48188789775294644,0.9389112903225807,0.4627147341387244,0.9458972046889089
3,0.435457492451514,0.9620967741935483,0.44344460058577756,0.9495040577096483
4,0.41660636278890795,0.9711693548387097,0.44011067766343503,0.9504057709648331
5,0.40495333613887907,0.9774193548387097,0.4152324648189373,0.9693417493237151
6,0.397168400210719,0.9790322580645161,0.4559791302551978,0.9495040577096483
7,0.38679535850401847,0.9838709677419355,0.4334270654496467,0.9594229035166817
8,0.39064057315549544,0.9814516129032258,0.43383240998060024,0.9603246167718665
9,0.37788142465776015,0.9907258064516129,0.4203885314000201,0.9639314697926059
10,0.37547744435648767,0.990524193548387,0.41664412566624426,0.9738503155996393
